open_timestamp_utc,close_timestamp_utc,open,high,low,close,volume
1564358400,1564963199,0.00002000,0.00002000,0.00000051,0.00000189,206465799.00000000
1564963200,1565567999,0.00000189,0.00000450,0.00000146,0.00000217,1923369049.00000000
1565568000,1566172799,0.00000217,0.00000303,0.00000216,0.00000269,664274390.00000000
1566172800,1566777599,0.00000297,0.00000345,0.00000272,0.00000281,471474556.00000000
1566777600,1567382399,0.00000266,0.00000279,0.00000229,0.00000244,241930321.00000000
1567382400,1567987199,0.00000208,0.00000247,0.00000184,0.00000241,249650422.00000000
1567987200,1568591999,0.00000208,0.00000219,0.00000184,0.00000185,110267764.00000000
1568592000,1569196799,0.00000195,0.00000235,0.00000195,0.00000203,244854333.00000000
1569196800,1569801599,0.00000196,0.00000207,0.00000177,0.00000194,120106285.00000000
1569801600,1570406399,0.00000196,0.00000260,0.00000195,0.00000245,313586139.00000000
1570406400,1571011199,0.00000210,0.00000226,0.00000200,0.00000208,85587261.00000000
1571011200,1571615999,0.00000206,0.00000216,0.00000197,0.00000202,99239900.00000000
1571616000,1572220799,0.00000191,0.00000215,0.00000175,0.00000180,271942772.00000000
1572220800,1572825599,0.00000177,0.00000188,0.00000165,0.00000168,85852332.00000000
1572825600,1573430399,0.00000173,0.00000184,0.00000164,0.00000169,128315146.00000000
1573430400,1574035199,0.00000166,0.00000173,0.00000164,0.00000167,83001505.00000000
1574035200,1574639999,0.00000168,0.00000169,0.00000155,0.00000156,39563976.00000000
1574640000,1575244799,0.00000158,0.00000170,0.00000150,0.00000160,71477262.00000000
1575244800,1575849599,0.00000162,0.00000173,0.00000161,0.00000168,93330740.00000000
